feature,importance
jobType_JANITOR,0.21828490267926667
yearsExperience,0.18671919761404038
milesFromMetropolis,0.12977188996951147
major_NONE,0.08562541642543842
jobType_JUNIOR,0.07476353234817959
jobType_CEO,0.048493605808666206
jobType_SENIOR,0.040219004318202224
industry_FINANCE,0.028978987406777
industry_EDUCATION,0.028568660279749487
industry_OIL,0.025233876602163703
jobType_CFO,0.02334496878359125
jobType_CTO,0.020593759761908772
industry_SERVICE,0.015827922601034737
degree_DOCTORAL,0.014033476048637344
industry_WEB,0.009881523233230797
jobType_MANAGER,0.009699337975998451
degree_NONE,0.006494706357018588
major_ENGINEERING,0.005839066730505354
industry_AUTO,0.005362875473312761
degree_MASTERS,0.004338331303948137
major_BUSINESS,0.004247575482084778
jobType_VICE_PRESIDENT,0.004209108196784874
industry_HEALTH,0.0026497491759516923
major_LITERATURE,0.0023014714617690985
major_MATH,0.0013213383266410844
degree_HIGH_SCHOOL,0.0009589501366336058
major_BIOLOGY,0.0006751410426665635
major_CHEMISTRY,0.0006698854435881723
major_PHYSICS,0.000328664021093634
degree_BACHELORS,0.0002850137413558742
major_COMPSCI,7.29275902432788e-05
companyId_COMP36,8.977280393648803e-06
companyId_COMP13,8.28642735494794e-06
companyId_COMP46,7.843429659313334e-06
companyId_COMP9,7.501134878179577e-06
companyId_COMP24,6.001546903666253e-06
companyId_COMP34,5.954550601370232e-06
companyId_COMP56,5.771410764273117e-06
companyId_COMP30,5.568066502666261e-06
companyId_COMP62,5.387795533816268e-06
companyId_COMP21,5.295029977092399e-06
companyId_COMP26,5.050009762947625e-06
companyId_COMP61,4.966779129668932e-06
companyId_COMP60,4.8928526787632706e-06
companyId_COMP42,4.8585980427879065e-06
companyId_COMP48,4.794071646457678e-06
companyId_COMP38,4.679292100512207e-06
companyId_COMP44,4.670910466623128e-06
companyId_COMP15,4.329418325221261e-06
companyId_COMP20,4.326807134876693e-06
companyId_COMP17,4.1440819744612966e-06
companyId_COMP53,4.067539531979273e-06
companyId_COMP1,4.024982091242439e-06
companyId_COMP12,3.8284801686122396e-06
companyId_COMP47,3.5938868154849744e-06
companyId_COMP57,3.5864052334740953e-06
companyId_COMP10,3.480895782896055e-06
companyId_COMP11,3.299335728859155e-06
companyId_COMP55,3.215199960677066e-06
companyId_COMP31,3.194768128602736e-06
companyId_COMP28,3.1940106735931017e-06
companyId_COMP4,3.1415427410976e-06
companyId_COMP2,3.0932362568336114e-06
companyId_COMP18,2.9809125282844297e-06
companyId_COMP6,2.749950868795201e-06
companyId_COMP59,2.7040592733426062e-06
companyId_COMP52,2.664070581397441e-06
companyId_COMP58,2.630701828690026e-06
companyId_COMP32,2.578612949897729e-06
companyId_COMP16,2.5407137705571248e-06
companyId_COMP22,2.3570084497029002e-06
companyId_COMP33,2.311830055797999e-06
companyId_COMP39,2.1411113235099505e-06
companyId_COMP27,2.0144297867752837e-06
companyId_COMP23,2.014088275709108e-06
companyId_COMP19,1.974068556961513e-06
companyId_COMP35,1.90052485003345e-06
companyId_COMP49,1.7962437995397307e-06
companyId_COMP54,1.761780441525751e-06
companyId_COMP14,1.7250389331966369e-06
companyId_COMP8,1.6336569170195694e-06
companyId_COMP41,1.2719521116737445e-06
companyId_COMP43,1.142589130957788e-06
companyId_COMP37,1.0468260645916192e-06
companyId_COMP29,1.0410534259414534e-06
companyId_COMP5,1.0401018861247214e-06
companyId_COMP45,1.03207399851602e-06
companyId_COMP51,9.327549485335665e-07
companyId_COMP50,8.156325965149066e-07
companyId_COMP3,7.458053769313082e-07
companyId_COMP40,3.7340888673234685e-07
companyId_COMP7,1.92881444044238e-07
companyId_COMP25,0.0
companyId_COMP0,0.0
